time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-01 00:00:00+00:00,0,0,1,1
2025-09-03 00:00:00+00:00,10,10,19,1
2025-09-04 00:00:00+00:00,0,0,5,1
2025-09-05 00:00:00+00:00,8,8,39,1
2025-09-06 00:00:00+00:00,9,9,18,1
2025-09-07 00:00:00+00:00,11,10,10,1
2025-09-08 00:00:00+00:00,2,2,6,2
2025-09-09 00:00:00+00:00,1,1,0,0
2025-09-10 00:00:00+00:00,2,2,3,1
2025-09-11 00:00:00+00:00,1,1,1,1
2025-09-12 00:00:00+00:00,1,1,2,1
2025-09-13 00:00:00+00:00,1,1,1,1
2025-09-14 00:00:00+00:00,10,10,12,2
2025-09-15 00:00:00+00:00,2,2,11,1
2025-09-16 00:00:00+00:00,4,2,2,1
2025-09-18 00:00:00+00:00,7,7,0,0
2025-09-21 00:00:00+00:00,1,1,0,0
2025-09-23 00:00:00+00:00,2,2,0,0
2025-09-24 00:00:00+00:00,2,2,0,0
2025-09-26 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-09-29 00:00:00+00:00,0,0,3,1
2025-09-30 00:00:00+00:00,1,1,0,0
2025-10-03 00:00:00+00:00,0,0,4,4
2025-10-07 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,2,2,2,1
2025-10-14 00:00:00+00:00,5,3,0,0
2025-10-19 00:00:00+00:00,3,2,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-10-29 00:00:00+00:00,1,1,0,0
2025-10-31 00:00:00+00:00,0,0,1,1
2025-11-02 00:00:00+00:00,1,1,0,0
2026-01-16 00:00:00+00:00,2,1,0,0
2026-01-17 00:00:00+00:00,0,0,1,1
2026-01-18 00:00:00+00:00,1,1,0,0
2026-01-19 00:00:00+00:00,0,0,0,0
2026-01-20 00:00:00+00:00,1,1,0,0
2026-01-21 00:00:00+00:00,0,0,0,0
2026-01-22 00:00:00+00:00,1,1,0,0
2026-01-23 00:00:00+00:00,0,0,0,0
2026-01-24 00:00:00+00:00,0,0,0,0
2026-01-25 00:00:00+00:00,0,0,0,0
2026-01-26 00:00:00+00:00,0,0,0,0
2026-01-27 00:00:00+00:00,14,8,0,0
2026-01-28 00:00:00+00:00,11,8,0,0
2026-01-29 00:00:00+00:00,34,15,9,1
2026-01-30 00:00:00+00:00,3,3,1,1
2026-01-31 00:00:00+00:00,25,14,0,0
2026-02-01 00:00:00+00:00,42,24,3,2
2026-02-02 00:00:00+00:00,32,17,8,1
2026-02-03 00:00:00+00:00,22,13,15,2
2026-02-04 00:00:00+00:00,3,3,0,0
2026-02-05 00:00:00+00:00,1,1,0,0
2026-02-06 00:00:00+00:00,1,1,0,0
2026-02-07 00:00:00+00:00,2,2,0,0
2026-02-08 00:00:00+00:00,1,1,0,0
2026-02-09 00:00:00+00:00,0,0,0,0
2026-02-10 00:00:00+00:00,0,0,3,1
2026-02-11 00:00:00+00:00,0,0,0,0
2026-02-12 00:00:00+00:00,0,0,1,1
2026-02-13 00:00:00+00:00,0,0,0,0
2026-02-14 00:00:00+00:00,0,0,0,0
2026-02-15 00:00:00+00:00,0,0,0,0
2026-02-16 00:00:00+00:00,1,1,1,1
2026-02-17 00:00:00+00:00,0,0,2,1
2026-02-18 00:00:00+00:00,0,0,0,0
2026-02-19 00:00:00+00:00,0,0,2,2
2026-02-20 00:00:00+00:00,0,0,1,1
2026-02-21 00:00:00+00:00,0,0,0,0
2026-02-22 00:00:00+00:00,0,0,0,0
2026-02-23 00:00:00+00:00,0,0,0,0
2026-02-24 00:00:00+00:00,0,0,1,1
